iter	Passed	Remaining
992	3825	766666
993	3829	766632
994	3833	766722
995	3837	766668
996	3841	766831
997	3846	766916
998	3850	766967
999	3853	766925
1000	3858	766992
1001	3862	767030
1002	3866	767071
1003	3869	767026
1004	3874	767089
1005	3877	767048
1006	3881	767022
1007	3885	766970
1008	3889	767044
1009	3893	766998
1010	3897	767121
1011	3901	767086
1012	3904	767011
1013	3909	767120
1014	3912	767061
1015	3916	767073
1016	3920	767013
1017	3924	767167
1018	3928	767189
1019	3933	767334
1020	3937	767327
1021	3941	767436
1022	3946	767539
1023	3950	767558
1024	3954	767608
1025	3958	767698
1026	3962	767646
1027	3966	767693
1028	3969	767637
1029	3974	767703
1030	3977	767665
1031	3981	767633
1032	3985	767588
1033	3989	767674
1034	3993	767630
1035	3997	767788
1036	4001	767749
1037	4005	767815
1038	4009	767775
1039	4013	767714
1040	4016	767667
1041	4020	767617
1042	4024	767718
1043	4028	767659
1044	4031	767608
1045	4035	767539
1046	4039	767666
1047	4043	767662
1048	4047	767623
1049	4051	767566
1050	4055	767685
1051	4059	767634
1052	4062	767592
1053	4066	767529
1054	4070	767519
1055	4075	767717
1056	4078	767650
1057	4082	767582
1058	4085	767555
1059	4090	767688
1060	4094	767772
1061	4099	767946
1062	4104	768097
1063	4108	768163
1064	4112	768097
1065	4115	768087
1066	4119	768033
1067	4123	768130
1068	4127	768068
1069	4131	768026
1070	4134	767973
1071	4138	768015
1072	4142	767965
1073	4146	767995
1074	4150	768027
1075	4155	768157
1076	4158	768097
1077	4162	768043
1078	4165	767995
1079	4169	767937
1080	4174	768243
1081	4179	768407
1082	4183	768362
1083	4187	768390
1084	4190	768309
1085	4194	768296
1086	4198	768211
1087	4201	768177
1088	4206	768264
1089	4209	768204
1090	4213	768250
1091	4217	768237
1092	4221	768288
1093	4225	768230
1094	4228	768177
1095	4232	768179
1096	4236	768187
1097	4240	768232
1098	4245	768406
1099	4251	768728
1100	4256	768887
1101	4259	768838
1102	4263	768751
1103	4266	768719
1104	4271	768830
1105	4275	768820
1106	4279	768964
1107	4284	769116
1108	4290	769476
1109	4294	769431
1110	4298	769472
1111	4303	769646
1112	4309	770011
1113	4312	769955
1114	4317	770086
1115	4322	770248
1116	4326	770410
1117	4331	770587
1118	4338	771151
1119	4342	771137
1120	4346	771161
1121	4350	771112
1122	4355	771267
1123	4359	771322
1124	4364	771504
1125	4369	771666
1126	4373	771672
1127	4378	771873
1128	4381	771825
1129	4387	772082
1130	4392	772309
1131	4396	772285
1132	4399	772239
1133	4404	772392
1134	4408	772371
1135	4412	772379
1136	4418	772764
1137	4422	772846
1138	4426	772756
1139	4429	772728
1140	4433	772672
1141	4438	772863
1142	4442	772810
1143	4445	772794
1144	4449	772836
1145	4454	772927
1146	4458	772883
1147	4461	772840
1148	4465	772793
1149	4469	772895
1150	4474	773051
1151	4478	772994
1152	4481	772960
1153	4485	772932
1154	4489	772883
1155	4493	772986
1156	4498	773026
1157	4501	772989
1158	4505	772950
1159	4509	772994
1160	4513	772997
1161	4517	772942
1162	4520	772882
1163	4524	772846
1164	4528	772899
1165	4532	772831
1166	4536	772843
1167	4539	772822
1168	4544	772892
1169	4547	772826
1170	4551	772786
1171	4554	772722
1172	4559	772776
1173	4562	772760
1174	4567	772824
1175	4571	772848
1176	4575	772901
1177	4579	773004
1178	4584	773045
1179	4587	772961
1180	4591	773025
1181	4595	772991
1182	4599	773029
1183	4603	772981
1184	4606	772907
1185	4611	772995
1186	4614	772951
1187	4618	772879
1188	4622	772871
1189	4626	772906
1190	4629	772863
1191	4633	772838
1192	4637	772892
1193	4642	772921
1194	4645	772882
1195	4649	772879
1196	4653	772836
1197	4657	772847
1198	4661	772954
1199	4665	772963
1200	4669	772929
1201	4673	772866
1202	4678	773057
1203	4681	773020
1204	4685	772986
1205	4689	772930
1206	4693	772960
1207	4696	772886
1208	4700	772889
1209	4703	772795
1210	4708	772927
1211	4712	772901
1212	4715	772852
1213	4719	772800
1214	4723	772735
1215	4727	772878
1216	4731	772832
1217	4735	772774
1218	4738	772693
1219	4743	772898
1220	4747	772894
1221	4751	772835
1222	4754	772755
1223	4758	772825
1224	4762	772780
1225	4767	772957
1226	4772	773094
1227	4777	773298
1228	4781	773358
1229	4785	773293
1230	4789	773351
1231	4794	773459
1232	4797	773401
1233	4801	773319
1234	4804	773263
1235	4809	773354
1236	4812	773304
1237	4816	773232
1238	4819	773187
1239	4824	773316
1240	4828	773270
1241	4831	773194
1242	4835	773159
1243	4838	773105
1244	4843	773177
1245	4847	773248
1246	4852	773404
1247	4858	773684
1248	4861	773646
1249	4865	773583
1250	4868	773532
1251	4873	773615
1252	4877	773600
1253	4880	773543
1254	4884	773505
1255	4888	773503
1256	4892	773532
1257	4895	773467
1258	4900	773511
1259	4903	773471
1260	4908	773528
1261	4911	773460
1262	4915	773412
1263	4918	773359
1264	4923	773435
1265	4926	773407
1266	4931	773451
1267	4934	773440
1268	4938	773397
1269	4942	773443
1270	4946	773417
1271	4950	773393
1272	4953	773332
1273	4957	773369
1274	4961	773322
1275	4965	773383
1276	4969	773361
1277	4973	773411
1278	4977	773358
1279	4981	773320
1280	4984	773286
1281	4988	773298
1282	4992	773256
1283	4996	773283
1284	5000	773253
1285	5003	773218
1286	5008	773260
1287	5011	773225
1288	5015	773170
1289	5018	773097
1290	5023	773194
1291	5027	773295
1292	5032	773428
1293	5037	773573
1294	5042	773673
1295	5046	773681
1296	5050	773686
1297	5053	773625
1298	5057	773667
1299	5061	773602
1300	5064	773554
1301	5068	773506
1302	5073	773630
1303	5077	773606
1304	5080	773540
1305	5084	773486
1306	5088	773566
1307	5092	773517
1308	5095	773448
1309	5099	773399
1310	5102	773373
1311	5107	773419
1312	5110	773364
1313	5114	773285
1314	5117	773226
1315	5122	773424
1316	5126	773384
1317	5129	773306
1318	5133	773242
1319	5137	773309
1320	5141	773330
1321	5145	773268
1322	5148	773226
1323	5152	773164
1324	5156	773197
1325	5160	773178
1326	5164	773226
1327	5168	773196
1328	5172	773243
1329	5176	773194
1330	5180	773203
1331	5184	773298
1332	5189	773403
1333	5192	773360
1334	5196	773333
1335	5200	773307
1336	5204	773386
1337	5208	773369
1338	5212	773330
1339	5215	773260
1340	5219	773280
1341	5224	773352
1342	5227	773288
1343	5231	773243
1344	5234	773185
1345	5240	773389
1346	5243	773354
1347	5247	773330
1348	5251	773275
1349	5255	773370
1350	5259	773374
1351	5263	773309
1352	5266	773266
1353	5271	773381
1354	5275	773351
1355	5279	773340
1356	5282	773297
1357	5286	773348
1358	5290	773292
1359	5293	773230
1360	5297	773180
1361	5301	773133
1362	5305	773178
1363	5308	773104
1364	5313	773168
1365	5317	773165
1366	5321	773204
1367	5324	773161
1368	5328	773145
1369	5332	773088
1370	5336	773129
1371	5340	773083
1372	5343	773032
1373	5347	772970
1374	5350	772919
1375	5355	773068
1376	5359	773045
1377	5362	772992
1378	5366	772955
1379	5370	772981
1380	5374	772946
1381	5378	772929
1382	5382	772953
1383	5387	773134
1384	5391	773089
1385	5395	773105
1386	5398	773088
1387	5402	773108
1388	5406	773089
1389	5410	773051
1390	5413	772999
1391	5417	772964
1392	5422	773039
1393	5425	773026
1394	5430	773173
1395	5434	773165
1396	5438	773219
1397	5442	773164
1398	5446	773118
1399	5449	773113
1400	5454	773211
1401	5458	773194
1402	5462	773272
1403	5466	773238
1404	5471	773351
1405	5475	773392
1406	5479	773376
1407	5482	773332
1408	5486	773340
1409	5490	773293
1410	5494	773259
1411	5497	773186
1412	5502	773293
1413	5505	773250
1414	5509	773200
1415	5513	773167
1416	5516	773140
1417	5521	773235
1418	5526	773343
1419	5530	773465
1420	5536	773639
1421	5539	773578
1422	5543	773513
1423	5546	773446
1424	5551	773619
1425	5555	773575
1426	5558	773529
1427	5562	773497
1428	5566	773447
1429	5571	773586
1430	5574	773567
1431	5578	773515
1432	5581	773467
1433	5586	773591
1434	5590	773541
1435	5593	773506
1436	5597	773453
1437	5601	773470
1438	5606	773548
1439	5610	773647
1440	5614	773596
1441	5618	773619
1442	5621	773581
1443	5626	773708
1444	5630	773664
1445	5634	773741
1446	5638	773703
1447	5642	773660
1448	5645	773617
1449	5649	773560
1450	5653	773608
1451	5657	773644
1452	5661	773616
1453	5665	773571
1454	5669	773640
1455	5673	773595
1456	5676	773556
1457	5680	773499
1458	5684	773539
1459	5688	773504
1460	5691	773461
1461	5695	773414
1462	5698	773362
1463	5704	773529
1464	5707	773477
1465	5711	773456
